Description,Item Type,Internal Part #,Manufacturer,Manufacturer Part #,Vendor,Vendor Part #,Quantity
,,,,,,,
Probe Box Inner Panel,CUSTOM MACHINED,51009,,,,,1
Probe Box Mounting Plate,CUSTOM MACHINED,51010,,,,,1
Polycase Enclosure,PURCHASED,,Polycase,WQ-64-03,,,1
Polycase Mounting Kit,PURCHASED,,Polycase,WQ-91,,,1
"1/4"" Bore Bottom Tapped Clamping Mount",PURCHASED,,,,Servocity,585542,5
Aluminum Unthreaded Spacer,PURCHASED,,,,McMaster,92511A022,10
Stainless Steel Raised Knurled-Head Thumb Screw,PURCHASED,,,,McMaster,91830A202,5
18-8 Stainless Steel Unthreaded Spacer,PURCHASED,,,,McMaster,92320A291,5
"Passivated 18-8 Stainless Steel Phillips Flat Head Screw, pack of 100",PURCHASED,,,,McMaster,91771A156,1
"18-8 Stainless Steel Extra-Wide Truss Head Phillips Screws, pack of 25",PURCHASED,,,,McMaster,92467A320,1
